名前,モデル,アイコン,フレーバーテキスト,金額,重さ,アイテムの種類（１：強化用、２：売却用）
GoldBar,Resource/Item/gold.mv1,goldbar_icon.png,ただの金の延べ棒。ずっしりと重い.,150,30,2
Diamond,Resource/Item/diamond.mv1,diamond_icon.png,キラキラと光るダイヤモンド。,200,25,2
Potion,Resource/Item/potion.mv1,potion_icon.png,"謎のポーション。
匂いはここに来る前に飲んだ
エナジードリンクの匂いがする。",10,20,1
Bag,Resource/Item/bag.mv1,bag_icon.png,"布で出来た巾着。
中には何も入っていない。",40,25,1
Coin,Resource/Item/coin.mv1,coin_icon.png,"どこの国の硬貨なのか
わからないコイン。",20,10,1
Watch,Resource/Item/watch.mv1,watch_icon.png,"もう動いていない時計。
随分と前のものだ。",60,15,1
Powder,Resource/Item/powder.mv1,powder_icon.png,白い粉。これに限る。,20,5,1
Scroll,Resource/Item/scroll.mv1,scroll_icon.png,"ただの巻物。
（この巻を解く者よ。知識は力なれ
ど、代償を伴う。覚悟なき者、ここ
より先へ進むべからず。ｇじゃいおｊｆｄｈそご",50,5,2
Burger,Resource/Item/burger.mv1,burger_icon.png,"落ちていたハンバーガー。
匂いは…少し危ない。",1,5,2
KituneMusk,Resource/Item/kitune_musk.mv1,musk_icon.png,"かっこいい仮面。
自分の顔にははまらなかった。",50,10,2
GoldCup,Resource/Item/gold_cup.mv1,gold_cup_icon.png,"何かの優勝カップらしい。
自分もこんな感じの優勝カップ
を昔に部活でとったな。",120,25,2
ChiliPepper,Resource/Item/chili_pepper.mv1,chili_pepper_icon.png,いかにも辛そうな唐辛子。,20,5,1
Rock,Resource/Item/rock.mv1,rock_icon.png,"少し大きな岩。
かなり重たい。",10,30,2
GemStone,Resource/Item/gemStone_purple.mv1,gem_stone_icon.png,"紫色の石。
透き通っていてとても綺麗だ。
幼い妹は欲しがるだろうな。",170,20,2
